id,description
120,"Koszulka otwierana z boku, z klapa zabezpieczajaca dokumenty przed wypadaniem, przezroczysta, groszkowa struktura folii,  wzmacniany dziurkowany bok, folia polipropylenowa, grubosc 110 mic, format A4, op. 10 szt./folia"
121,"Koszulka otwierana z boku, z klapa zabezpieczajaca dokumenty przed wypadaniem, przezroczysta, groszkowa struktura folii,  wzmacniany dziurkowany bok, folia polipropylenowa, o wymiarach 220 x 330 mm, grubosc 110 mic, op. 10 szt./folia"
122,"Koszulka otwierana z góry, przezroczysta groszkowa struktura folii, folia polipropylenowa, wzmocniony dziurkowany brzeg, o wymiarach 220 x 300 mm, grubosc 90 mic, op. 50 szt./folia,"
123,"Koszulka otwierana z góry, przezroczysta groszkowa struktura folii, folia polipropylenowa, wzmocniony dziurkowany brzeg, rozszerzane harmonijkowo boki i dno do 25 mm, antystatyczne, grubosc 140 mic, format A4, op. 10 szt /folia"
124,"Kreda biala, bezpylowa, kwadratowa B4, wys. 95 mm, szer. 13 mm, op. 50 szt."
125,"Kreda kolorowa, bezpylowa, kwadratowa B4, wys. 95 mm, szer. 13 mm, op. 50 szt. (rózne kolory)"
126,"Kredki olówkowe, oprawione w drewno, miekki grafit, w komplecie 12 intensywnych kolorów, temperowane"
127,"Kredki pastelowe, olejne, o okraglym przekroju, moga byc uzywane na papierze, tablicach lub plótnie, doskonale rozprowadzajace sie dla uzyskania efektów cieni, mozliwosc uzywania na sucho, jak i mokro, posiadajace czyste, trwale i odporne na blakniecie kolory"
128,"Ksiazka korespondencyjna, format A4, w sztywnej oprawie introligatorskiej, papier offsetowy, 192 strony"
129,"Ksiega inwentarzowa B-123, format A4, w sztywnej oprawie introligatorskiej, szyta i klejona, strony dziurkowane, papier offsetowy, 100 stron"
130,"Lak do pieczeci, op. pudelko 10 sztyftów, sztaba 50 g, kolor: czerwony"
131,"Linijka plastikowa wykonana z przezroczystego polistyrenu bardzo wysokiej jakosci o optymalnej gietkosci, trwala niescieralna podzialka, zaokraglonych rogach i trwalosci podzialki, 30 cm"
132,"Linijka plastikowa wykonana z przezroczystego polistyrenu bardzo wysokiej jakosci o optymalnej gietkosci, trwala niescieralna podzialka, zaokraglonych rogach i trwalosci podzialki, 50 cm"
133,"Magnesy do tablic okragle, super silne, nie rysuja powierzchni magnetycznej, rózne wielkosci (20mm, 30 mm, 35 mm), op. 10 sztuk, mix kolorów"
134,"Marker olejowy, wysokiej jakosci, przeznaczony do pisania po wszystkich materialach, z pigmentowym tuszem, szybkoschnacy, nieblaknacy lakier, aluminiowa obudowa, z okragla koncówka, wentylowana skuwka, grubosc linii 2,5 mm, w róznych kolorach: czarny, czerwony, zielony, niebieski"
135,"Marker permanentny niezmywalny; wodoodporny; z tuszem na bazie alkoholu; koncówka okragla; szybkoschnacy tusz; nie rozmazuje sie; aluminiowa obudowa; grubosc linii 1 mm , (czarny, czerwony, zielony, niebieski),"
136,"Marker suchoscieralny latwy do starcia, odporny na wysychanie, intensywny kolor, nietoksyczny, wytrzymala koncówka piszaca wykonana z fibry, intensywny kolor, plastikowa obudowa, tusz na bazie alkoholu, neutralny zapach, grubosc linii 2 mm (czarny, czerwony, niebieski, zielony),"
137,"Naboje do pióra Parker, niebieskie, dlugie, op. 5 szt."
138,"Naboje do pióra Watermann, niebieskie, krótkie, op. 5 szt."
139,"Naboje do pióra Watermann, niebieskie, dlugie, op. 5 szt."
140,"Naboje do pióra Pelikan, niebieskie, dlugie, op. 6 szt."
141,"Naboje do pióra Pelikan, niebieskie, krótkie, op. 6 szt."
142,"Niszczarka do dokumentów ekonomiczna o wymiarach: 400 x 330 x 195 mm, pojemnosc kosza min 18l, DIN 32757: 3, posiada zdolnosc ciecia zszywek, kart kredytowych , waga 5 kg"
143,"Nozyczki biurowe wykonane z hartowanej stali nierdzewnej, z wytrzymala, odporna na pekniecia i odpryski, ergonomiczna rekojescia (rozmiar:15 cm)"
144,"Nozyczki biurowe wykonane z hartowanej stali nierdzewnej, z wytrzymala, odporna na pekniecia i odpryski, ergonomiczna rekojescia (rozmiar: 21 cm)"
145,"Nóz biurowy do kartonu z wysuwanym ostrzem, lamane wymienne ostrze wykonane ze stali nierdzewnej, przycisk blokujacy pozycje ostrza, ergonomiczna obudowa, elementy gumowe zapobiegajace slizganiu sie noza, rozmiar 15 cm"
146,"Obwoluta groszkowa otwierana z góry i z prawej strony, przezroczysta struktura folii, wciecie boczne, na palec, prawy górny róg zaokraglony, grubosc folii 90 mic, konfekcja wlasna op. 10 szt., format A4"
147,"Obwoluta groszkowa otwierana z góry i z prawej strony, kolorowa struktura folii, wciecie boczne, na palec, prawy górny róg zaokraglony, format A4, op. 10 szt., mix kolorów,"
148,"Obwoluta sztywna L 150 mic otwierana z góry i z prawej strony, wykonana z twardej folii PCV, o wysokiej czestotliwosci, wciecie boczne, na palec, prawy górny róg zaokraglony, format A4,"
149,"Oczkownica podreczna do dokumentów, jednoglowicowa, nitujaca do 15 arkuszy, srednica otworu 4 mm, regulowany margines dziurkowania"
150,"Ofertówka sztywna do segregatora otwierana z góry, wykonana z twardej folii PCV, o wysokiej przezroczystosci, standardowa perforacja, konfekcja wlasna op. 10 szt., format A4"
151,"Okladka na legitymacje, przezroczysta, o wymiarach 8 cm x 11 cm, op. 20 sztuk"
